timestamp,open (AED),high (AED),low (AED),close (AED),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-01-31,13357.62000000,13559.74000000,12404.18000000,12404.18000000,3636.52641823,3691.57548815,3376.95849010,3376.95849010,11.28068866,38094.41734453
2019-01-30,12139.18000000,13357.62000000,12110.96000000,13357.62000000,3304.81393883,3636.69178896,3297.15194200,3636.52641823,5.25185867,19098.52279827
2019-01-29,12359.36000000,12362.45000000,12139.18000000,12139.18000000,3364.77396461,3365.84341466,3304.81393883,3304.81393883,8.50533636,28108.55415701
2019-01-28,13107.70000000,13202.73000000,12293.96000000,12359.36000000,3568.62047819,3594.48552854,3347.11949564,3364.77396461,13.94326164,46915.92374807
2019-01-27,12740.88000000,13143.49000000,12740.88000000,13107.70000000,3468.62864815,3578.23682122,3468.62864815,3568.62047819,4.04658912,14440.74080045
2019-01-26,12700.28000000,12749.80000000,12700.28000000,12740.88000000,3457.72704969,3471.20916532,3457.72704969,3468.62864815,0.00000000,0.00000000
2019-01-25,12867.57000000,13084.77000000,12700.28000000,12700.28000000,3503.11344711,3562.26713788,3457.72704969,3457.72704969,10.50025011,36306.99883386
2019-01-24,12884.74000000,13172.10000000,12867.57000000,12867.57000000,3507.78786955,3586.04231995,3503.11344711,3503.11344711,7.07562440,24786.71498236
2019-01-23,12929.42000000,12931.00000000,12804.29000000,12884.74000000,3519.95171313,3520.38185801,3485.88587276,3507.78786955,3.56056929,12489.72176415
2019-01-22,13100.85000000,13129.95000000,12914.38000000,12929.42000000,3566.62243171,3574.60118305,3516.04869047,3519.95171313,14.03102211,49388.52031312
2019-01-21,12800.75000000,13100.85000000,12798.76000000,13100.85000000,3485.08060699,3566.65741683,3484.38036571,3566.62243171,4.02076356,14340.54550570
2019-01-20,13815.84000000,14351.89000000,12800.75000000,12800.75000000,3761.44491950,3907.38773217,3485.08060699,3485.08060699,9.25227696,32244.93100378
2019-01-19,13148.46000000,13819.01000000,13144.07000000,13815.84000000,3579.74673029,3762.30797092,3578.55152658,3761.44491950,3.28912240,12371.85274108
2019-01-18,13359.07000000,13543.11000000,13135.39000000,13148.46000000,3636.92117144,3687.04804881,3576.18834476,3579.74673029,2.45818936,8799.69532389
2019-01-17,13859.88000000,13953.39000000,13296.91000000,13359.07000000,3773.26348358,3798.93614411,3620.08228116,3636.92117144,3.23116905,11751.50712643
2019-01-16,13319.57000000,13950.05000000,13266.86000000,13859.88000000,3626.16754964,3797.98439322,3611.84028460,3773.26348358,6.15349652,23218.76371524
2019-01-15,13201.13000000,13339.86000000,13201.13000000,13319.57000000,3593.92301888,3631.82290423,3593.92301888,3626.16754964,3.16088395,11461.89480768
2019-01-14,13133.23000000,13202.94000000,13051.12000000,13201.13000000,3575.61878753,3594.54992533,3553.10608352,3593.92301888,7.49457478,26934.92481859
2019-01-13,13599.45000000,13618.29000000,13131.81000000,13133.23000000,3702.44876280,3707.57795072,3575.23218205,3575.61878753,9.88894838,35359.10961640
2019-01-12,13699.77000000,13703.26000000,13447.10000000,13599.45000000,3729.76087173,3730.71102385,3660.97149210,3702.44876280,3.13960036,11624.20946855
2019-01-11,13959.74000000,14181.19000000,13638.26000000,13699.77000000,3800.44972844,3860.95674653,3713.01478102,3729.76087173,2.80853180,10475.15201466
2019-01-10,14840.59000000,14861.35000000,13959.74000000,13959.74000000,4040.25549440,4045.93269346,3800.32772666,3800.44972844,2.82404800,10732.65245471
2019-01-09,14973.02000000,14973.02000000,14835.13000000,14840.59000000,4076.30871298,4076.30871298,4038.86250653,4040.25549440,13.28200989,53662.71343477
2019-01-08,14569.85000000,15109.90000000,14569.85000000,14973.02000000,3966.54826493,4113.46145158,3966.54826493,4076.30871298,3.76856318,15361.82692606
2019-01-07,14089.34000000,14597.91000000,14089.34000000,14569.85000000,3835.96229943,3974.43208499,3835.96022417,3966.54826493,2.23503934,8865.39141614
2019-01-06,13853.13000000,14294.73000000,13853.13000000,14089.34000000,3771.59734462,3891.82558093,3771.59734462,3835.96229943,13.12913694,50362.87432591
2019-01-05,14481.50000000,14481.50000000,13674.84000000,13853.13000000,3942.67482844,3942.67482844,3723.05682774,3771.59734462,26.99635228,101819.37057356
2019-01-04,14652.68000000,14652.68000000,14290.30000000,14481.50000000,3989.09820147,3989.09820147,3890.53259911,3942.67482844,2.16776226,8546.78169654
2019-01-03,13711.79000000,14652.68000000,13695.97000000,14652.68000000,3732.94693038,3989.23506469,3728.78836887,3989.09820147,1.74615329,6965.57694862
2019-01-02,13906.54000000,13950.52000000,13537.73000000,13711.79000000,3786.04480775,3797.96350660,3685.45989695,3732.94693038,10.77944191,40239.08458918
2019-01-01,13894.02000000,14072.24000000,13660.76000000,13906.54000000,3782.97192635,3830.97285736,3718.95311414,3786.04480775,6.75621360,25579.32742035
2018-12-31,13963.09000000,13963.09000000,13727.09000000,13894.02000000,3801.82239126,3801.82239126,3737.13573916,3782.97192635,7.02697334,26582.84287242
2018-12-30,13847.31000000,14084.96000000,13847.31000000,13963.09000000,3770.36592220,3835.07361354,3770.36592220,3801.82239126,2.25336438,8566.89115555
2018-12-29,12976.43000000,14229.71000000,12832.30000000,13847.31000000,3533.24143561,3874.48635632,3493.99750734,3770.36592220,5.95233659,22442.48703639
2018-12-28,13946.75000000,14014.49000000,12976.43000000,12976.43000000,3796.91328421,3815.35506498,3533.24143561,3533.24143561,5.44679664,19244.84757981
2018-12-27,14198.12000000,14389.56000000,13946.75000000,13946.75000000,3865.55033667,3917.65425928,3796.91328421,3796.91328421,4.94883710,18790.30532639
2018-12-26,14204.31000000,14208.39000000,13807.68000000,14198.12000000,3867.03234317,3868.23261064,3759.07598791,3865.55033667,4.93360658,19071.10457634
2018-12-25,15156.71000000,15166.29000000,14202.84000000,14204.31000000,4126.55646195,4128.81284975,3866.63854531,3867.03234317,28.10864312,108697.03206759
2018-12-24,14846.43000000,15156.71000000,14767.86000000,15156.71000000,4042.13372456,4126.55646195,4020.48048034,4126.55646195,14.61931464,60327.42729698
2018-12-23,14467.47000000,14910.67000000,14467.01000000,14846.43000000,3938.85507718,4059.51892305,3938.72983943,4042.13372456,5.69015571,23000.37029338
2018-12-22,15076.76000000,15076.76000000,14283.31000000,14467.47000000,4104.73791709,4104.73791709,3888.71641776,3938.85507718,23.64218037,93123.12218593
2018-12-21,15180.29000000,15437.23000000,15076.76000000,15076.76000000,4132.73664181,4202.57252028,4104.73354752,4104.73791709,16.57986943,68056.01870976
2018-12-20,14372.10000000,15180.29000000,14285.64000000,15180.29000000,3912.71209508,4132.92457766,3889.19835163,4132.73664181,2.90538904,12007.20774433
2018-12-19,13124.86000000,14386.75000000,13121.71000000,14372.10000000,3573.15900030,3916.87857529,3572.30143299,3912.71209508,8.27876099,32392.40825783
2018-12-18,11772.90000000,13124.86000000,11772.90000000,13124.86000000,3205.09655681,3573.32254009,3205.09655681,3573.32148940,15.26885347,54560.52222285
2018-12-17,11877.43000000,11877.43000000,11471.66000000,11772.90000000,3233.69778250,3233.70039727,3123.09106733,3205.09655681,18.18596169,58287.76319491
2018-12-16,11636.00000000,12216.28000000,11537.22000000,11877.43000000,3167.97046602,3325.94795239,3141.07702131,3233.69778250,2.04002537,6596.82551521
2018-12-15,12152.40000000,12211.74000000,11635.87000000,11636.00000000,3308.56344889,3324.71911814,3167.93507274,3167.97046602,13.58815280,43046.86675818
