currency code,timestamp,open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2GIVE,2019-01-31,0.0011582,0.0011582,0.0011582,0.0011582,0.0,0.0
ABY,2019-01-31,0.0014,0.0014,0.0014,0.0014,0.0,0.0
ACT,2019-01-31,0.006,0.006,0.006,0.006,0.0,0.0
ADA,2019-01-31,0.03948057,0.04013748,0.03774385,0.03847079,2291256.32133294,88146.4449057
ADT,2019-01-31,0.008999,0.008999,0.00376761,0.00376761,293.62372202,1.10625967
AGI,2019-01-31,0.045479,0.045479,0.0431,0.0431,13293.85123813,572.96498836
AID,2019-01-31,0.02556,0.031583,0.02556,0.031583,6292.42584094,198.73368533
AION,2019-01-31,0.1449,0.1449,0.118,0.118,6099.70401227,719.76507345
ANT,2019-01-31,0.40555,0.40555,0.40555,0.40555,0.0,0.0
ARK,2019-01-31,0.44,0.44,0.44,0.44,0.0,0.0
ATB,2019-01-31,0.00861601,0.00878055,0.00821964,0.00869552,123166837.0805618,1070999.69337736
ATM,2019-01-31,0.00199999,0.00199999,0.00013344,0.00013344,0.0,0.0
AUR,2019-01-31,0.06010113,0.06010113,0.06010113,0.06010113,0.0,0.0
AVT,2019-01-31,0.185,0.185,0.1541,0.1562,329.92720072,51.53462875
B3,2019-01-31,0.0001728,0.00017322,0.0001728,0.00017322,7282.92690009,1.2615486
BAT,2019-01-31,0.11463145,0.1154063,0.10992427,0.11194915,157108.812399,17588.19784726
BCD,2019-01-31,0.72405057,0.73250047,0.70551,0.71012,348302.37447,247336.48215864
BCH,2019-01-31,119.97614804,121.96402811,116.22669135,116.49302919,282881.07429886,32953673.24662764
BFT,2019-01-31,0.021499,0.021499,0.021496,0.021496,750.0,16.122
BITB,2019-01-31,0.001,0.001,0.001,0.001,0.0,0.0
BNB,2019-01-31,6.16323453,6.28059407,6.00152569,6.24634063,680865.62621,4252918.62539194
BNT,2019-01-31,0.48224,0.48224,0.48224,0.48224,80.9347969,39.02999646
BQ,2019-01-31,0.00085804,0.00085804,0.00085804,0.00085804,0.0,0.0
BTC,2019-01-31,3478.21678702,3498.94102036,3441.58830919,3451.31987662,129435.84921899,446724519.1565894
BTCP,2018-12-25,1.86818,2.35079,1.41454,1.41908,135.8807802,192.82569757
BTG,2019-01-31,10.34393346,10.49867377,9.96049055,10.04423466,98216.60915692,986510.67024796
BTS,2019-01-31,0.0311,0.0311,0.0311,0.0311,0.0,0.0
BTX,2019-01-31,0.271097,0.36,0.257624,0.258086,190847.65595169,49255.10813395
BURST,2019-01-31,0.0047,0.0047,0.0047,0.0047,295393.24928821,1388.34827165
BUZZ,2019-01-31,1.91e-05,1.91e-05,1.9e-05,1.9e-05,55555.55555555,1.05555556
BYTOM,2019-01-31,0.09499999,0.09499999,0.09499999,0.09499999,0.0,0.0
C20,2019-01-31,0.32071866,0.33991982,0.32007574,0.33266884,130215.957833,43318.79164179
