open (USD),close (USD)
3478.80204193,3506.52230177
3451.51132461,3479.09411435
3478.21678702,3451.31987662
3440.58593831,3479.30180006
3462.81259094,3440.00601361
3578.24714105,3463.28819308
3596.29216272,3581.70083233
3599.83149304,3597.67821861
3605.8379051,3598.33644091
3579.82790855,3602.36668912
3602.76105099,3579.77476259
3569.36260446,3603.05024184
3601.21850749,3571.11148096
3720.54676791,3602.76867239
3648.61189053,3727.52431048
3674.68503452,3648.95023008
3647.69163974,3673.15951893
3630.42403961,3650.9065022
3698.9118563,3630.25983971
3545.43694947,3699.57009646
3651.40536598,3536.79235732
3669.554255,3653.02108745
3661.7090338,3665.16647753
4037.29693588,3662.93921775
4030.21420118,4037.57681015
4031.73734533,4026.21386024
4078.97114692,4028.60921722
3847.22346618,4081.77628047
3855.51835898,3848.55075171
3849.67483713,3859.72524329
