open (USD),close (USD)
107.05778836,110.10746114
106.90624475,107.32443764
108.02242212,106.82052064
104.81530087,108.13054715
107.30627182,104.841018
113.06263303,107.19697922
116.23534386,113.2767771
115.88909808,116.21246185
117.34305812,115.99339673
117.57290044,117.28262058
118.65566942,117.42125168
116.92159602,118.67517241
119.0658112,116.68971772
124.34136438,119.02533876
120.16228638,124.41890006
123.42683248,120.25901312
123.17742184,123.55476798
121.31380729,123.23169205
129.09847926,121.58630939
116.76462947,129.4922059
125.73144264,116.7645996
127.19288485,125.49268715
127.71894865,126.83556223
150.67474535,128.32913109
150.44942689,150.76318856
151.84205366,150.39128846
158.06206431,151.68337371
156.1558611,158.37524309
155.46557865,156.30350194
149.69194426,155.74490445
