currency code,timestamp,open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2GIVE,2019-02-02,0.0011582,0.0011582,0.0011582,0.0011582,0.0,0.0
ABY,2019-02-02,0.0014,0.0014,0.0014,0.0014,0.0,0.0
ACT,2019-02-02,0.006,0.006,0.006,0.006,0.0,0.0
ADA,2019-02-02,0.03872893,0.03900877,0.03769924,0.03883222,1844186.07593977,71613.83793078
ADT,2019-02-02,0.00376761,0.00376761,0.00376761,0.00376761,0.0,0.0
AGI,2019-02-02,0.043281,0.0442,0.043281,0.0442,5752.89472173,254.2779467
AID,2019-02-02,0.02583,0.032,0.02583,0.032,54745.6215838,1751.85989068
AION,2019-02-02,0.11561,0.11561,0.11561,0.11561,2282.31168051,263.85805338
ANT,2019-02-02,0.42486,0.42486,0.42486,0.42486,121.75755274,51.72991386
ARK,2019-02-02,0.44,0.44,0.44,0.44,0.0,0.0
ATB,2019-02-02,0.00757491,0.00793704,0.00752277,0.00793704,152079886.90484974,1207064.62111056
ATM,2019-02-02,0.00013344,0.00013344,0.00013344,0.00013344,0.0,0.0
AUR,2019-02-02,0.06010113,0.06010113,0.06010113,0.06010113,0.0,0.0
AVT,2019-02-02,0.1541,0.1541,0.1531,0.1531,220.00599,33.68291707
B3,2019-02-02,0.000161,0.00017998,0.000151,0.00017998,5390.04492633,0.97010029
BAT,2019-02-02,0.10961078,0.11180144,0.10901047,0.11180144,53939.4366395,6030.50662097
BCD,2019-02-02,0.72564,0.72569,0.71233,0.71266,349654.28541,249184.62304029
BCH,2019-02-02,118.42931586,124.30882304,118.42931586,124.11696235,229037.33418166,28427418.18416402
BFT,2019-02-02,0.0199,0.021408,0.0199,0.021408,1500.0,32.112
BITB,2019-02-02,0.001,0.001,0.001,0.001,0.0,0.0
BNB,2019-02-02,6.53249384,6.85815781,6.53201362,6.84641327,508460.72703,3481132.26688374
BNT,2019-02-02,0.48224,0.48224,0.48224,0.48224,80.9347969,39.02999646
BQ,2019-02-02,0.00085804,0.00085804,0.00085804,0.00085804,0.0,0.0
BTC,2019-02-02,3478.80204193,3506.52230177,3455.82029467,3506.52230177,96177.63839033,337249033.9471148
BTCP,2018-12-25,1.86818,2.35079,1.41454,1.41908,135.8807802,192.82569757
BTG,2019-02-02,10.24172996,10.24587579,9.96607411,10.10205076,59826.27427609,604368.05976727
BTS,2019-02-02,0.0311,0.0311,0.0311,0.0311,0.0,0.0
BTX,2019-02-02,0.252319,0.253519,0.234433,0.23545,193010.27373667,45444.2689513
BURST,2019-02-02,0.0047,0.0047,0.0047,0.0047,336188.56032017,1580.0862335
